# Ghidra-importable symbol list for swfl_00000fef (N55 DME, MEVD17.2.6)
# Format: NAME ADDRESS
# Import with: Ghidra Script Manager -> ImportSymbolsScript.java
#   (or paste into the equivalent Python ImportSymbolsScript)
# Total: 110 symbols

Com_SignalDispatchTable_16 0x80032580
BaudCfgEntry_ARRAY 0x80042908
MsgCfgEntry_ARRAY 0x80042938
CAN_TxChannel_Cfg_Array 0x80043f90
Com_RxContext_Base 0x8004d4e4
Com_RxContext_SubCtx 0x8004d4f8
Com_RxBufferDescriptor_Table 0x8004d560
Com_SignalSubField_DescTable 0x800500e0
SubSignal_RangeTable 0x80050c70
Com_SignalTimeout_LUT 0x80051d3e
Com_SignalDescriptor_Table 0x80052e7c
Com_LengthMask_LUT 0x80053188
Com_PDU_RegTable 0x80053214
Sched_Table_A_Fast 0x80059800
Sched_Table_B_10ms 0x80059be0
Sched_Table_C 0x80059e3c
Sched_Table_D 0x80059f7c
Sched_Table_E 0x8005a0bc
Sched_Table_F 0x8005a210
Sched_Table_G 0x8005a354
Tick_BroadcastA_Call_Slot1 0x8007acb6
Tick_BroadcastA_Call_Slot2 0x8007b48e
Tick_BroadcastA_Call_Slot3 0x8007baba
Com_WriteSignal 0x80082c10
Com_SignalDispatch_0_AgeTimeout 0x80082c9c
Com_SignalDispatch_6 0x80082f04
Com_SignalDispatch_2 0x80082f0a
Com_SignalDispatch_4 0x80083272
Com_SubSignalCommit 0x80083e12
Com_SubSignalByteWriter 0x800848de
Com_SignalStatusGet 0x80084e64
Com_SignalStatusSet 0x80084f12
Com_SignalMultiByteSet 0x80084fb0
Com_SignalDispatch_9 0x800853a6
Com_SignalDispatch_B 0x8008542a
Com_SignalDispatch_D 0x8008544e
Com_SignalDispatch_C 0x80085468
Com_SignalDispatch_A 0x800854ca
Com_SignalDispatch_E 0x80085558
Com_SignalDispatch_F 0x8008567e
Com_PublishTxTablePointers 0x800859f0
Com_IsSubscriberActive 0x80085a02
Com_SubSignalFlagUpdate 0x80085a74
Com_SignalUpdate_Variant 0x80085caa
Com_SignalUpdate_Variant2 0x80085cee
Com_SignalWritePreamble 0x800866d6
Com_SignalStatusLookup 0x800866e4
FUN_8009ab7c_Trampoline 0x8009ab7c
scheduler_tick_sentinel 0x800aeb3c
memcpy_b 0x800b006a
memset_b 0x800b00ac
lookup_helper 0x800b0b9a
math_helper_2 0x800b133e
math_helper_1 0x800b13a6
App_Query_0x8F_State 0x800c1732
CAN_BroadcastSignalGroupA 0x800c5d06
LAB_CAN_BroadcastA_Return 0x800c5e4e
CAN_BroadcastSignalGroupB 0x800c6032
CAN_AssignChannelMOArray 0x800c8a28
CAN_DataBlockLookup 0x800c97dc
Com_SignalDispatch_1 0x800cae28
Com_SignalDispatch_7 0x800cb06e
Com_SignalDispatch_3 0x800cb296
Com_SignalDispatch_5 0x800cb29c
Com_SignalStateUpdate2 0x800cb2a2
Com_SignalDispatch_8 0x800cb690
Com_SignalStateCommit 0x800cb6e6
Com_SignalTimeoutPath 0x800cb816
Com_ContextSwitch_Helper 0x800eb3f0
Com_WriteSignal_Wrapper 0x800ed734
CAN_RxSubDispatcher 0x800ed78a
CAN_TimeoutDispatcher 0x800ed846
CAN_RxHandler_MsgType4_Inner 0x800eda2c
CAN_StoreResponseHelper 0x800edb84
CAN_TransmitRequestHelper 0x800edb9a
Com_PublishRxCtxBase 0x800ee312
CAN_RxBitfieldExtract_Variant1 0x800ee3fe
CAN_RxBitfieldExtract_8bit 0x800ee4b6
CAN_RxBitfieldExtract_16bit 0x800ee51a
Diag_HandleService_580 0x800eeb24
CAN_RxBitfieldExtract_Variant3 0x800eeecc
CAN_RxBitfieldHelper_v5 0x800ef1da
CAN_RxBitfieldHelper_v6 0x800ef240
CAN_RxBitfieldExtract_Variant4 0x800ef548
stack_unwind_helper 0x800fc0be
task_terminator 0x800fc846
App_Query_0x8F_Use1 0x802ff724
App_Query_0x8F_Use2 0x80305906
App_UpdateSignal_0xAF 0x8030f764
App_UpdateSignalGroup_0xA1_0xA9 0x8030fc4a
App_UpdateSignal_0x8F_State 0x8032855e
App_Query_0x8F_Use3 0x80329090
DAT_TxBitPosTable_Ptr 0xd0001bdc
DAT_TxByteOffsetTable_Ptr 0xd0001be0
DAT_MsgCfgEntry_Base 0xd0002584
DAT_BaudConstant_Ptr 0xd0002588
DAT_BaudCfgEntry_Base 0xd000258c
DAT_ComCtx_RxBase_Ptr 0xd00027f0
Broadcast_SignalMaskByte 0xd00043a7
perMo_bufferPtr_table 0xd000bf18
TxChannelDesc_Table 0xd000ed90
PerSignal_State_Table 0xd000eddc
moHw_to_msgCfgIdx_table 0xd00114ee
SubSignal_DirtyBitmap 0xd001187a
GlobalSignal_StatusBitmap 0xd00119c6
SubSignal_BitfieldB 0xd0011d4e
SubSignal_BitfieldA 0xd0012024
channelTypeTab 0xd0012c9d
DAT_TaskContextTable_Ptr 0xd0019170
SubSignal_StatusBuffer 0xd001a8c2
